id,name,district,city,enrollment,up_to_date_count,conditional_count,personal_belief_exemption_count,permanent_medical_exemption_count,up_to_date_percent,conditional_percent,personal_belief_exemption_percent,permanent_medical_exemption_percent,type,is_religious,religion,frpm_percent,latitude,longitude
109835,FAME PUBLIC CHARTER,ALAMEDA COUNTY OFFICE OF EDUCATION,NEWARK,109,95,0,14,0,87,0,13,0,PUBLIC,,,50.2,37.521612,-121.9927
124172,YU MING CHARTER,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,52,47,0,5,0,90,0,10,0,PUBLIC,,,10.9,37.800256,-122.2699151
6001788,COX ACADEMY,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,115,88,25,1,1,77,22,1,1,PUBLIC,,,98.6,37.7464704,-122.1614182
6002000,LAZEAR CHARTER ACADEMY,ALAMEDA COUNTY OFFICE OF EDUCATION,OAKLAND,40,36,4,0,0,90,10,0,0,PUBLIC,,,99.5,37.775775,-122.231668
111765,RUBY BRIDGES ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,91,91,0,0,0,100,0,0,0,PUBLIC,,,70.1,37.781807,-122.28614
119222,NEA COMMUNITY LEARNING CENTER,ALAMEDA UNIFIED,ALAMEDA,48,45,1,2,0,94,2,4,0,PUBLIC,,,30.4,37.776338,-122.2822
126656,MAYA LIN,ALAMEDA UNIFIED,ALAMEDA,73,66,0,7,0,90,0,10,0,PUBLIC,,,46.8,37.77275760000001,-122.2717261
6090005,DONALD D. LUM ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,100,96,1,3,0,96,1,3,0,PUBLIC,,,33.2,37.762208,-122.25898
6090013,EDISON ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,70,69,0,1,0,99,0,1,0,PUBLIC,,,12.8,37.764438,-122.23476
6090021,FRANK OTIS ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,95,88,5,1,1,93,5,1,1,PUBLIC,,,18.4,37.754042,-122.23798
6090039,FRANKLIN ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,50,49,0,1,0,98,0,2,0,PUBLIC,,,19.3,37.769011,-122.26162
6090047,HENRY HAIGHT ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,98,95,2,1,0,97,2,1,0,PUBLIC,,,55.7,37.769708,-122.25081
6090120,WILLIAM G. PADEN ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,73,71,2,0,0,97,3,0,0,PUBLIC,,,47.7,37.771594,-122.28446
6100374,AMELIA EARHART ELEMENTARY,ALAMEDA UNIFIED,ALAMEDA,128,125,1,2,0,98,1,2,0,PUBLIC,,,9.4,37.745266,-122.23931
6110779,BAY FARM,ALAMEDA UNIFIED,ALAMEDA,70,69,0,1,0,99,0,1,0,PUBLIC,,,7,37.738999,-122.25199
6090146,CORNELL ELEMENTARY,ALBANY CITY UNIFIED,ALBANY,84,54,17,13,0,64,20,15,0,PUBLIC,,,12.8,37.889831,-122.29515
6095376,MARIN ELEMENTARY,ALBANY CITY UNIFIED,ALBANY,84,60,15,9,0,71,18,11,0,PUBLIC,,,11.7,37.888562,-122.28821
6116222,OCEAN VIEW ELEMENTARY,ALBANY CITY UNIFIED,ALBANY,152,102,46,4,0,67,30,3,0,PUBLIC,,,31.1,37.887542,-122.30089
6090187,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,BERKELEY UNIFIED,BERKELEY,63,58,5,0,0,92,8,0,0,PUBLIC,,,37.1,37.865671,-122.29472
6090195,CRAGMONT ELEMENTARY,BERKELEY UNIFIED,BERKELEY,80,67,7,6,0,84,9,8,0,PUBLIC,,,38,37.891953,-122.26383
6090211,EMERSON ELEMENTARY,BERKELEY UNIFIED,BERKELEY,61,49,12,0,0,80,20,0,0,PUBLIC,,,41.8,37.861516,-122.25111
6090252,JEFFERSON ELEMENTARY,BERKELEY UNIFIED,BERKELEY,102,76,10,16,0,75,10,16,0,PUBLIC,,,35.2,37.878945,-122.28523
6090286,MALCOLM X ELEMENTARY,BERKELEY UNIFIED,BERKELEY,127,117,0,10,0,92,0,8,0,PUBLIC,,,36.4,37.852171,-122.27373
6090302,OXFORD ELEMENTARY,BERKELEY UNIFIED,BERKELEY,40,33,7,0,0,83,18,0,0,PUBLIC,,,40.6,37.887816,-122.26825
6090310,THOUSAND OAKS ELEMENTARY,BERKELEY UNIFIED,BERKELEY,63,58,5,0,0,92,8,0,0,PUBLIC,,,43.4,37.893098,-122.28037
6090328,WASHINGTON ELEMENTARY,BERKELEY UNIFIED,BERKELEY,74,61,11,2,0,82,15,3,0,PUBLIC,,,29.1,37.866965,-122.27253
6105316,JOHN MUIR ELEMENTARY,BERKELEY UNIFIED,BERKELEY,58,49,7,1,1,84,12,2,2,PUBLIC,,,55,37.857208,-122.24596
6090351,CASTRO VALLEY ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,119,100,19,0,0,84,16,0,0,PUBLIC,,,36.5,37.698044,-122.08099
6090369,CHABOT ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,73,72,0,1,0,99,0,1,0,PUBLIC,,,17.6,37.707073,-122.09016
6090393,INDEPENDENT ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,115,114,0,0,1,99,0,0,1,PUBLIC,,,9.3,37.699633,-122.05099
6090401,MARSHALL ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,69,63,6,0,0,91,9,0,0,PUBLIC,,,36.7,37.697906,-122.06669
6090419,PALOMARES ELEMENTARY,CASTRO VALLEY UNIFIED,CASTRO VALLEY,20,19,1,0,0,95,5,0,0,PUBLIC,,,11.9,37.693535,-122.02618
