year,county_code,district_code,school_code,county_name,district_name,school_name,NSLP,charter_school_number,charter_type,grade_low,grade_high,enrollment_k_12,free_meal_count_unadjusted,free_meal_count_adjusted,free_meal_count_adjusted_percent,frpm_count_unadjusted,frpm_count_adjusted,frpm_count_adjusted_percent,
2013-14,01,10017,0109835,Alameda,Alameda County Office of Education,FAME Public Charter,N,0728,Directly funded,K,12,"1,332",529,547,41.1%,652,669,50.2%,
2013-14,01,10017,0112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,N,0811,Directly funded,9,12,343,227,233,67.9%,260,265,77.3%,
2013-14,01,10017,0118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,N,1049,Directly funded,9,12,230,114,114,49.6%,152,152,66.1%,
2013-14,01,10017,0123968,Alameda,Alameda County Office of Education,Community School for Creative Education,N,1284,Directly funded,K,8,172,104,106,61.6%,125,125,72.7%,
2013-14,01,10017,0124172,Alameda,Alameda County Office of Education,Yu Ming Charter,N,1296,Directly funded,K,8,211,20,20,9.5%,23,23,10.9%,
2013-14,01,10017,0125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,N,1383,Directly funded,K,8,214,69,70,32.7%,83,84,39.3%,
2013-14,01,10017,0130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,N,,,K,12,200,43,54,27.0%,43,54,27.0%,
2013-14,01,10017,0130419,Alameda,Alameda County Office of Education,Alameda County Community,N,,,K,12,278,203,203,73.0%,215,215,77.3%,
2013-14,01,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,N,0740,Directly funded,K,5,558,485,487,87.3%,549,550,98.6%,
2013-14,01,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,Y,1464,Directly funded,K,8,401,317,318,79.3%,399,399,99.5%,
2013-14,01,31609,0131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,N,,,1,Adult,72,71,71,98.6%,71,71,98.6%,
2013-14,01,31617,0131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,Y,,,P,12,404,403,403,99.8%,403,403,99.8%,
2013-14,01,61119,0000001,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",N,,,,,29,1,1,3.4%,1,1,3.4%,
2013-14,01,61119,0106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,N,,,9,12,170,33,33,19.4%,40,40,23.5%,
2013-14,01,61119,0111765,Alameda,Alameda Unified,Ruby Bridges Elementary,N,,,K,5,579,345,345,59.6%,406,406,70.1%,
2013-14,01,61119,0119222,Alameda,Alameda Unified,Nea Community Learning Center,N,1066,Directly funded,K,12,510,130,131,25.7%,154,155,30.4%,
2013-14,01,61119,0122085,Alameda,Alameda Unified,The Academy of Alameda,N,1181,Directly funded,6,8,481,211,212,44.1%,243,244,50.7%,
2013-14,01,61119,0126656,Alameda,Alameda Unified,Maya Lin,N,,,K,8,325,137,137,42.2%,152,152,46.8%,
2013-14,01,61119,0128199,Alameda,Alameda Unified,Encinal Junior Jets,N,,,6,8,184,97,97,52.7%,115,115,62.5%,
2013-14,01,61119,0130229,Alameda,Alameda Unified,Alameda High,N,,,9,12,"1,787",353,358,20.0%,403,408,22.8%,
2013-14,01,61119,0130609,Alameda,Alameda Unified,Alameda Community Learning Center,N,0352,Directly funded,6,12,332,69,70,21.1%,77,78,23.5%,
2013-14,01,61119,0130625,Alameda,Alameda Unified,Bay Area School of Enterprise,N,0398,Directly funded,9,12,140,112,114,81.4%,128,130,92.9%,
2013-14,01,61119,0132878,Alameda,Alameda Unified,Encinal High,N,,,9,12,"1,038",423,427,41.1%,467,471,45.4%,
2013-14,01,61119,0134304,Alameda,Alameda Unified,Island High (Continuation),N,,,9,12,172,88,89,51.7%,93,94,54.7%,
2013-14,01,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,N,,,K,5,509,146,147,28.9%,168,169,33.2%,
2013-14,01,61119,6090013,Alameda,Alameda Unified,Edison Elementary,N,,,K,5,484,56,56,11.6%,62,62,12.8%,
2013-14,01,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,N,,,K,5,565,85,85,15.0%,104,104,18.4%,
2013-14,01,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,N,,,K,5,311,53,53,17.0%,60,60,19.3%,
2013-14,01,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,N,,,K,5,438,220,220,50.2%,244,244,55.7%,
2013-14,01,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,N,,,6,8,956,142,144,15.1%,181,183,19.1%,
2013-14,01,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,N,,,6,8,429,221,221,51.5%,248,248,57.8%,
2013-14,01,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,N,,,K,5,329,137,139,42.2%,157,157,47.7%,
2013-14,01,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,N,,,K,5,618,50,50,8.1%,58,58,9.4%,
2013-14,01,61119,6110779,Alameda,Alameda Unified,Bay Farm,N,,,K,7,561,26,28,5.0%,37,39,7.0%,
2013-14,01,61127,0000001,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",N,,,,,2,0,0,0.0%,0,0,0.0%,
2013-14,01,61127,0130294,Alameda,Albany City Unified,MacGregor High (Continuation),N,,,10,12,17,4,5,29.4%,4,5,29.4%,
2013-14,01,61127,0130450,Alameda,Albany City Unified,Albany High,N,,,9,12,"1,182",191,193,16.3%,246,248,21.0%,
2013-14,01,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,N,,,K,5,587,56,56,9.5%,75,75,12.8%,
2013-14,01,61127,6090161,Alameda,Albany City Unified,Albany Middle,N,,,6,8,867,167,169,19.5%,207,209,24.1%,
2013-14,01,61127,6095376,Alameda,Albany City Unified,Marin Elementary,N,,,K,5,538,49,49,9.1%,63,63,11.7%,
2013-14,01,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,N,,,K,5,646,165,170,26.3%,197,201,31.1%,
2013-14,01,61143,0000001,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",N,,,,,34,10,10,29.4%,10,10,29.4%,
2013-14,01,61143,0122689,Alameda,Berkeley Unified,REALM Charter Middle,N,1254,Directly funded,6,8,314,171,172,54.8%,219,219,69.7%,
2013-14,01,61143,0122697,Alameda,Berkeley Unified,REALM Charter High,N,1255,Directly funded,9,12,287,175,176,61.3%,213,214,74.6%,
2013-14,01,61143,0131177,Alameda,Berkeley Unified,Berkeley High,N,,,9,12,"3,145",872,874,27.8%,"1,014","1,015",32.3%,
2013-14,01,61143,0134924,Alameda,Berkeley Unified,Berkeley Technology Academy,N,,,10,12,102,65,65,63.7%,73,73,71.6%,
2013-14,01,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,N,,,6,8,915,297,299,32.7%,376,376,41.1%,
2013-14,01,61143,6056865,Alameda,Berkeley Unified,Willard Middle,N,,,6,8,511,225,226,44.2%,260,261,51.1%,
2013-14,01,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science Magnet,N,,,K,5,482,156,156,32.4%,179,179,37.1%,
2013-14,01,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,N,,,K,5,421,133,133,31.6%,160,160,38.0%,
2013-14,01,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,N,,,K,5,297,107,108,36.4%,124,124,41.8%,
2013-14,01,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,N,,,K,5,338,103,103,30.5%,119,119,35.2%,
2013-14,01,61143,6090278,Alameda,Berkeley Unified,Leconte Elementary,N,,,K,5,344,158,159,46.2%,188,189,54.9%,
2013-14,01,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,N,,,K,5,527,165,165,31.3%,192,192,36.4%,
2013-14,01,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,N,,,6,8,500,224,224,44.8%,263,263,52.6%,
2013-14,01,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,N,,,K,5,318,97,98,30.8%,128,129,40.6%,
2013-14,01,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,N,,,K,5,472,178,178,37.7%,205,205,43.4%,
2013-14,01,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,N,,,K,5,471,115,115,24.4%,137,137,29.1%,
2013-14,01,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,N,,,K,5,421,138,138,32.8%,176,176,41.8%,
2013-14,01,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,N,,,K,5,282,138,138,48.9%,155,155,55.0%,
2013-14,01,61150,0000001,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",N,,,,,18,3,3,16.7%,3,3,16.7%,
2013-14,01,61150,0130047,Alameda,Castro Valley Unified,Roy A. Johnson High,N,,,9,12,15,3,3,20.0%,3,3,20.0%,
2013-14,01,61150,0132225,Alameda,Castro Valley Unified,Castro Valley High,N,,,9,12,"3,000",472,475,15.8%,619,622,20.7%,
2013-14,01,61150,0135533,Alameda,Castro Valley Unified,Redwood Continuation High,N,,,9,12,124,40,41,33.1%,45,46,37.1%,
2013-14,01,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,N,,,K,5,490,138,139,28.4%,178,179,36.5%,
